SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H,52W L,30 D   %CHNG,365 D % CHNG 06-Dec-2023
DELHIVERY,331.6,359.8,331.6,333.3,354.05,-,20.75,6.23,"97,06,199",341.47,488,325.5,-5.82,-12.97
VEDL,475,505.55,472.8,472.5,501.4,-,28.9,6.12,"2,58,27,648","1,280.20",523.65,240.8,0.57,89.42
POLICYBZR,"2,025.00","2,150.00","2,013.90","2,017.40","2,125.00",-,107.6,5.33,"34,33,089",725.11,"2,150.00",725.25,22.87,139.13
JUBLFOOD,662.05,697.15,659.15,662.05,695,-,32.95,4.98,"43,27,937",295.9,715.45,421.05,11.84,19.11
IRFC,150.84,159.64,150.55,150.84,158.08,-,7.24,4.8,"6,23,23,577",976.55,229,74.6,-0.4,99
RVNL,443,468,441,443.25,464.5,-,21.25,4.79,"1,16,69,884",533.38,647,165.6,-1.7,159.44
BSE,"5,281.45","5,445.00","5,246.60","5,194.90","5,379.00",-,184.1,3.54,"62,97,523","3,374.42","5,445.00","1,941.05",12.86,108.96
SJVN,117.6,122.8,116.71,117.05,120.98,-,3.93,3.36,"2,00,24,908",241.7,170.5,81.05,3.07,38.6
TATAMOTORS,793,818.85,785.3,792.55,818,-,25.45,3.21,"1,97,16,910","1,582.40","1,179.00",696.25,-5.16,9.7
NHPC,82.4,86.84,81.97,82.18,84.8,-,2.62,3.19,"7,11,49,439",606.9,118.4,58,2.49,36.51
INDIGO,"4,388.00","4,505.00","4,376.15","4,368.55","4,505.00",-,136.45,3.12,"5,46,985",242.26,"5,035.00","2,819.55",10.85,52.1
IRB,57.45,59.46,57.32,57.13,58.91,-,1.78,3.12,"2,36,76,714",139.01,78.15,36.85,10.76,53.37
VOLTAS,"1,669.90","1,717.85","1,663.00","1,667.90","1,714.00",-,46.1,2.76,"11,90,529",201.99,"1,944.90",833.1,-1.58,97.37
ESCORTS,"3,440.00","3,534.90","3,440.00","3,438.00","3,522.00",-,84,2.44,"2,64,216",92.45,"4,420.00","2,648.40",-7.23,6.6
BAJAJ-AUTO,"8,953.90","9,148.95","8,930.10","8,891.95","9,100.00",-,208.05,2.34,"7,46,013",677.88,"12,774.00","5,987.85",-9.95,46.49
RECLTD,545.6,562.5,544.55,545,557.5,-,12.5,2.29,"1,06,25,077",591.34,654,389.2,3.61,36.05
PAYTM,959.6,991.25,942,955.85,975.35,-,19.5,2.04,"1,12,24,773","1,088.01",991.25,310,25.04,17.56
EXIDEIND,454,465.8,452.4,453.45,462.5,-,9.05,2,"35,12,144",161.99,620.35,278.5,2.23,55.85
TATAPOWER,433.8,442.5,433.25,430.85,438.95,-,8.1,1.88,"1,73,72,298",760.75,494.85,280.2,-0.75,46.47
HINDZINC,500.6,515.4,499.45,500.6,509.8,-,9.2,1.84,"29,15,997",148.66,807.7,284.6,-10.55,53.72
IOC,140.65,143.54,140.3,139.44,142,-,2.56,1.84,"2,06,87,458",293.93,196.8,116.6,-0.97,16.88
MOTHERSON,169.99,174.57,166.53,167,170.05,-,3.05,1.83,"5,32,62,330",911.37,216.99,90.2,-9.32,77.94
SUNDARMFIN,"4,121.00","4,210.00","4,120.95","4,120.40","4,195.00",-,74.6,1.81,"4,37,744",181.91,"5,535.85","3,191.20",-16.25,21.53
CGPOWER,773.95,785.5,765.2,769.35,783.1,-,13.75,1.79,"24,35,865",189.09,874.7,414.3,9.15,69.55
NMDC,235.94,239.5,234.45,235.16,239.25,-,4.09,1.74,"77,50,240",184.11,286.35,179.9,0.18,27.6
ZYDUSLIFE,986,996.65,972,978,995,-,17,1.74,"7,49,783",74.11,"1,324.30",630.85,-1.06,53.91
YESBANK,21.19,21.58,21.09,21.17,21.53,-,0.36,1.7,"12,72,31,060",271.64,32.85,19.02,2.67,7.19
KALYANKJIL,720.65,750,716.95,720.65,732.6,-,11.95,1.66,"77,93,780",574.09,786.25,311.05,10.48,119.81
JSWENERGY,670,680,665.05,664.15,675.05,-,10.9,1.64,"32,94,934",221.7,804.9,397.65,1.43,51.29
HINDPETRO,393.85,402.25,392.05,391.8,398.2,-,6.4,1.63,"81,07,943",323.52,457.15,237.33,4.52,1.96
BANKBARODA,261.3,266.95,258,259.98,264,-,4.02,1.55,"1,86,07,200",490.6,299.7,208,0.81,24.07
AXISBANK,"1,167.50","1,193.85","1,160.00","1,166.40","1,183.90",-,17.5,1.5,"75,42,210",892.46,"1,339.65",995.7,-0.45,4.1
SHREECEM,"26,607.00","27,141.35","26,515.15","26,608.00","26,999.10",-,391.1,1.47,"40,294",108.62,"30,737.75","23,500.00",7.74,-4.28
VBL,631,645,626.2,633.5,642.7,-,9.2,1.45,"56,45,687",362.24,681.12,422.5,8.06,-40.99
JINDALSTEL,935,951.75,932.65,934.45,947.1,-,12.65,1.35,"11,79,083",111.39,"1,097.00",674.35,-0.17,36.05
OFSS,"12,440.90","12,849.95","12,440.90","12,440.90","12,606.85",-,165.95,1.33,"1,25,428",158.75,"12,849.95","4,038.80",13.74,202.61
HUDCO,244,249.9,241.26,243.85,247,-,3.15,1.29,"1,03,99,529",256.04,353.7,86.3,9.48,180.93
BPCL,297.9,303.9,296.4,297,300.8,-,3.8,1.28,"95,86,531",288.51,376,216.23,-3.56,-37.19
PERSISTENT,"6,090.00","6,188.95","6,065.00","6,101.75","6,178.00",-,76.25,1.25,"3,28,550",201.83,"6,188.95","1,572.33",12.57,-3.69
BIOCON,376.5,381.5,372.75,375.25,379.4,-,4.15,1.11,"22,46,090",85.06,395.8,236.9,18.86,56.09
DRREDDY,"1,246.00","1,255.15","1,236.35","1,239.85","1,253.55",-,13.7,1.1,"17,17,216",214.22,"1,421.49","1,074.00",-2.54,-78.36
MARUTI,"11,200.00","11,375.95","11,121.00","11,182.25","11,303.00",-,120.75,1.08,"4,17,214",469.72,"13,680.00","9,737.65",0.11,5.24
SBILIFE,"1,435.00","1,452.95","1,429.30","1,431.85","1,447.00",-,15.15,1.06,"13,59,753",196.28,"1,936.00","1,307.70",-12.33,-1.3
ZOMATO,300,303.9,296.25,299.35,302.45,-,3.1,1.04,"4,93,09,068","1,480.16",304.65,114.15,23.76,151.77
SAIL,122.47,125.12,122.07,122.47,123.73,-,1.26,1.03,"1,71,05,118",211.83,175.35,95.5,3.32,23.27
ASTRAL,"1,834.45","1,850.00","1,825.25","1,825.20","1,843.80",-,18.6,1.02,"2,33,858",43.07,"2,454.00","1,695.50",3.13,-7.18
PAGEIND,"46,100.00","46,599.95","45,915.00","45,946.05","46,400.00",-,453.95,0.99,"26,817",123.98,"48,393.70","33,070.05",5.93,25.08
CANBK,110,110.8,107.72,108.17,109.2,-,1.03,0.95,"5,99,64,689",656.07,128.9,82.69,4.34,-75.27
ITC,470,474.95,467.7,467.5,471.95,-,4.45,0.95,"75,51,407",356.71,528.5,399.35,-2.64,0.92
COFORGE,"8,770.00","8,920.00","8,755.55","8,817.80","8,901.00",-,83.2,0.94,"2,68,255",237.89,"8,920.00","4,287.25",16.85,54.65
EICHERMOT,"4,851.00","4,928.70","4,827.55","4,837.55","4,882.85",-,45.3,0.94,"3,27,806",160.03,"5,105.00","3,562.45",-1.27,19.53
TATACONSUM,970,976.4,964.1,966.45,975.5,-,9.05,0.94,"18,93,714",184.15,"1,256.44",900.5,-3.43,1.55
BHARTIHEXA,"1,409.95","1,435.95","1,402.10","1,408.95","1,422.00",-,13.05,0.93,"1,85,872",26.41,"1,568.00",755,-0.46,-
PNB,109.7,111.13,107.18,109.08,110.08,-,1,0.92,"5,18,61,042",569.33,142.9,84.5,4.17,27.65
ICICIGI,"1,940.00","1,957.80","1,930.60","1,932.70","1,948.20",-,15.5,0.8,"6,96,971",135.68,"2,301.90","1,353.50",0.87,33.69
UNIONBANK,128.3,130.9,126.78,127.8,128.8,-,1,0.78,"1,57,83,081",203.76,172.5,106.68,8.88,9.04
GAIL,208.87,213.4,208.51,208.87,210.5,-,1.63,0.78,"1,40,26,104",296.41,246.3,134.85,6.34,48.56
LT,"3,832.00","3,883.95","3,800.00","3,831.55","3,861.20",-,29.65,0.77,"18,56,562",715.98,"3,919.90","3,175.05",7.18,12.95
TITAN,"3,453.95","3,499.65","3,430.00","3,441.05","3,467.35",-,26.3,0.76,"12,78,516",443.85,"3,886.95","3,055.65",6.53,-2.98
DIXON,"17,379.00","17,505.00","17,225.00","17,298.55","17,430.00",-,131.45,0.76,"3,17,720",551.98,"17,530.00","5,782.85",20.11,189.26
ABB,"7,540.00","7,574.00","7,490.00","7,488.40","7,545.00",-,56.6,0.76,"2,28,818",172.61,"9,149.95","4,340.30",4.98,58.04
OBEROIRLTY,"2,146.90","2,157.45","2,117.00","2,130.20","2,146.00",-,15.8,0.74,"6,28,470",134.33,"2,192.00","1,268.15",6.58,45.94
NLCINDIA,264.4,270.6,263.1,264.35,266.3,-,1.95,0.74,"10,83,859",28.95,311.8,177.15,3.28,44.14
TATASTEEL,147.5,148.68,146.6,147.07,148.1,-,1.03,0.7,"3,06,04,899",451.54,184.6,127.85,-3.43,11.54
UPL,557.85,566.25,556,558.2,562,-,3.8,0.68,"29,70,258",166.91,600.96,430.58,-0.15,-5.16
DIVISLAB,"6,140.00","6,192.95","6,105.10","6,096.20","6,134.00",-,37.8,0.62,"7,04,328",431.92,"6,285.45","3,350.00",4.9,63.24
LICI,977.9,992.95,975.2,976.9,982.85,-,5.95,0.61,"13,30,397",131.03,"1,222.00",714,5.2,30.95
APLAPOLLO,"1,572.00","1,581.95","1,560.00","1,568.35","1,577.20",-,8.85,0.56,"3,16,023",49.75,"1,728.95","1,305.00",3.42,-1.77
INDHOTEL,821.6,831.8,817,820.1,824.65,-,4.55,0.55,"24,06,124",198.92,831.8,416.9,22.77,87.26
GMRINFRA,84.35,85.28,84.08,84.03,84.45,-,0.42,0.5,"79,02,560",66.88,103.75,58.75,7.1,36.97
IDEA,8.09,8.22,7.97,8.08,8.12,-,0.04,0.5,"42,71,43,967",346.84,19.18,6.61,-0.74,-37.12
COCHINSHIP,"1,682.00","1,702.00","1,650.50","1,682.30","1,690.00",-,7.7,0.46,"4,03,528",67.95,"2,979.45",587.05,12.43,-
JSWSTEEL,999.9,"1,008.00",994.65,999.2,"1,003.60",-,4.4,0.44,"12,18,982",122.19,"1,063.00",761.75,-0.03,21.16
DLF,852.9,858.4,843,850.25,853.65,-,3.4,0.4,"26,04,765",222.08,967.6,641.45,6.41,30.22
INDUSTOWER,368,373.25,363,363.55,364.9,-,1.35,0.37,"1,68,16,288",618.91,460.35,176.55,6.25,95.77
TVSMOTOR,"2,519.90","2,537.90","2,505.25","2,512.20","2,521.00",-,8.8,0.35,"3,28,425",82.86,"2,958.00","1,871.75",2.19,33.01
AUROPHARMA,"1,250.10","1,254.85","1,237.50","1,243.65","1,248.00",-,4.35,0.35,"5,72,093",71.32,"1,592.00",958.5,-10.97,22.33
MUTHOOTFIN,"1,932.95","1,965.40","1,930.10","1,937.55","1,944.20",-,6.65,0.34,"4,37,620",85.59,"2,078.75","1,261.90",1.26,35.28
TATAELXSI,"7,385.55","7,429.00","7,324.45","7,367.75","7,389.15",-,21.4,0.29,"1,69,740",125.32,"9,200.00","6,286.00",4.78,-12.85
LICHSGFIN,639.9,648.9,634.55,638.7,640.5,-,1.8,0.28,"10,71,453",68.89,826.75,498.7,1.04,26.44
MAZDOCK,"4,870.05","5,010.90","4,835.45","4,861.55","4,875.00",-,13.45,0.28,"27,85,303","1,372.12","5,860.00","1,795.40",15.81,129.9
POWERGRID,327.1,332.75,326.7,328.35,329.25,-,0.9,0.27,"88,02,058",290.55,366.25,222.5,3.71,46.32
OIL,476.6,477.8,473.3,473.75,474.65,-,0.9,0.19,"19,82,279",94.29,767.9,205.8,-4.41,48.09
PRESTIGE,"1,747.90","1,756.65","1,725.10","1,734.00","1,737.05",-,3.05,0.18,"3,13,886",54.63,"2,074.80",967.3,8.4,61.72
MRPL,154.3,157.26,154.19,154.74,155,-,0.26,0.17,"17,78,585",27.64,289.25,118.8,-5.55,23.4
MAXHEALTH,"1,098.55","1,101.80","1,082.00","1,096.90","1,098.70",-,1.8,0.16,"11,00,362",120.35,"1,118.00",630.9,5.01,67.13
NTPC,369.45,371.2,368.05,369.15,369.75,-,0.6,0.16,"97,36,086",360.12,448.45,278.95,-8.42,31.32
PFC,514.9,523.9,512,512.2,513,-,0.8,0.16,"1,04,42,708",540.15,580,351.7,10.99,35.29
IREDA,220.4,223.47,216.3,220.86,221.18,-,0.32,0.14,"1,19,33,173",262.23,310,61.5,7.86,244.29
TRENT,"7,050.00","7,140.00","6,930.05","6,970.10","6,980.00",-,9.9,0.14,"10,88,961",763.79,"8,345.00","2,800.20",0.03,143.04
LTIM,"6,346.00","6,398.85","6,330.95","6,347.15","6,356.10",-,8.95,0.14,"2,05,466",131.02,"6,574.95","4,513.55",10.97,12.54
LUPIN,"2,134.50","2,141.85","2,120.45","2,125.05","2,128.00",-,2.95,0.14,"6,26,159",133.49,"2,312.00","1,200.15",-2.6,70.89
ICICIPRULI,679,687.3,671.95,674.7,675.55,-,0.85,0.13,"11,83,302",80.13,796.8,463.45,-7.85,22.36
PIIND,"4,145.15","4,145.15","4,096.30","4,135.90","4,140.00",-,4.1,0.1,"1,42,896",58.99,"4,804.05","3,220.00",-8.86,7.09
CUMMINSIND,"3,474.00","3,497.85","3,455.55","3,456.70","3,460.00",-,3.3,0.1,"2,50,689",87.06,"4,171.90","1,835.55",-0.8,76.74
TATATECH,958.7,959.85,949.4,954.3,955,-,0.7,0.07,"7,01,971",66.96,"1,284.80",931,-5.71,-19.71
DABUR,525,525.85,520.25,523.15,523.5,-,0.35,0.07,"16,63,402",87.01,672,489.2,-2.19,-4.89
IGL,387,389.9,382.6,383.45,383.7,-,0.25,0.07,"80,67,105",311.36,570.35,306.1,-8.82,-4.3
LTF,148.41,149.23,146.59,148.41,148.5,-,0.09,0.06,"68,10,891",101.09,194.25,134.1,2.08,-
IOB,57.95,59.75,57.32,57.87,57.9,-,0.03,0.05,"1,92,78,886",112.49,83.75,40.75,6.97,35.69
MRF,"1,30,900.00","1,32,200.00","1,30,416.20","1,30,761.50","1,30,799.00",-,37.5,0.03,"7,588",99.59,"1,51,445.00","1,13,450.75",9.4,14.61
BOSCHLTD,"36,249.95","36,997.35","36,105.40","36,169.50","36,173.70",-,4.2,0.01,"35,941",131.62,"39,088.80","21,331.00",1.56,67.51
HDFCAMC,"4,384.85","4,407.00","4,347.90","4,357.00","4,357.50",-,0.5,0.01,"2,05,227",89.8,"4,864.00","2,962.55",1.47,45.62
